PAIS,ELECTRICIDAD,EMISIONES,ACCESO_AGUA,IDH_2019
Afganistán,97.6999969482422,56.0614340588989,5,0.511
Albania,100,13.4175670498084,1,0.795
Alemania,100,41.8158030617364,1,0.947
Andorra,100,0,1,0.868
Angola,45.6427993774414,0,7,0.581
Antigua y Barbuda,100,0,1,0.778
Arabia Saudita,100,0,1,0.854
Argelia,99.5,0.393619335782725,1,0.748
Armenia,100,0,1,0.776
Australia,100,44.189788850438,1,0.944
Austria,100,18.4148588482013,1,0.922
Azerbaiyán,100,0.0224762488507508,1,0.756
Bahamas,100,0.139961832061069,1,0.814
Barbados,100,0,1,0.814
Bélgica,100,13.0923613575865,1,0.931
Belice,92.7200012207031,0,1,0.716
Bolivia,95.0800018310547,0,2,0.718
Bosnia y Herzegovina,100,74.7134787070293,1,0.78
Brasil,99.8000030517578,14.5361622400253,1,0.765
Bulgaria,100,59.2207909069382,1,0.816
Burkina Faso,18.3748550415039,0,8,0.452
Burundi,11.3565282821655,3.76102564102564,6,0.433
Cabo Verde,91.4000015258789,0,2,0.665
Camboya,84,14.4357013574661,5,0.594
Camerún,63.4898796081543,0,6,0.563
Canadá,100,13.3474805546162,1,0.929
Chad,8.39999961853027,0,9,0.398
Chile,100,31.9416389579788,1,0.851
China,100,75.1004671478554,2,0.761
Chipre,100,0.162977777777778,1,0.887
Colombia,99.7559204101563,18.3212177399148,1,0.767
Comoras,84.2977752685547,0,3,0.554
Costa Rica,99.7099990844727,3.88711366538953,1,0.81
Cuba,99.8000030517578,0.0136421130952381,1,0.783
Dinamarca,100,25.5438954138702,1,0.94
Dominica,100,0,1,0.742
Ecuador,99.0899963378906,0,1,0.759
El Salvador,97.3600006103516,0,1,0.673
Emiratos Árabes Unidos,100,4.07111999564839,1,0.89
Eslovenia,100,31.4354062262718,1,0.917
España,100,18.0367214475432,1,0.904
Estados Unidos,100,32.3429000427235,1,0.926
Estonia,100,90.5432098765432,1,0.892
Etiopía,48.063591003418,8.71395782643958,9,0.485
Filipinas,95.6450805664063,40.9582932669285,2,0.718
Finlandia,100,37.2975844887348,1,0.938
Francia,100,11.3418950513907,1,0.901
Gabón,90.7262954711914,0,3,0.703
Gambia,62.0999984741211,0,4,0.496
Georgia,100,13.4211334120425,1,0.812
Ghana,83.5,0,3,0.611
Granada,93.120964050293,0,1,0.779
Grecia,100,37.9775715312725,1,0.888
Guatemala,95.7420043945313,17.7172616487455,2,0.663
Guinea,42.2000007629395,0,6,0.477
Guinea Ecuatorial,66.6000442504883,0,6,0.592
Guyana,91.9157562255859,0,1,0.682
Honduras,91.0999984741211,6.00829809725159,1,0.634
Hungría,100,21.6608417425548,1,0.854
India,97.3082656860352,69.625585225119,2,0.645
Indonesia,98.8499984741211,8.46616426895215,2,0.718
Irlanda,100,21.6203431786217,1,0.955
Islandia,100,16.0990243902439,1,0.949
Islas Marshall,97.538200378418,0,2,0.704
Islas Salomón,69.8094177246094,0,5,0.567
Israel,100,38.4493818575182,1,0.919
Italia,100,15.1521707533054,1,0.892
Jamaica,99.3676223754883,3.71655405405405,2,0.734
Japón,100,36.670901854372,1,0.919
Jordania,100,5.14440406408753,1,0.729
Kirguistán,99.8742370605469,46.4134191555098,2,0.697
Kiribati,90.0328521728516,0,4,0.63
Kuwait,100,0,1,0.806
Letonia,100,3.12299450549451,1,0.866
Líbano,99.9748687744141,2.51426222935044,2,0.744
Liberia,23.1000003814697,0,4,0.48
Libia,68.6424026489258,0,1,0.724
Liechtenstein,100,0,1,0.919
Lituania,100,8.00256906077348,1,0.882
Luxemburgo,100,2.09,1,0.916
Macedonia del Norte,100,55.523470437018,1,0.774
Madagascar,31.0400009155273,33.4238032786885,8,0.528
Malasia,100,24.9969488087017,1,0.81
Maldivas,100,0,1,0.74
Malí,47.8362770080566,0,4,0.434
Malta,100,0,1,0.895
Marruecos,99.5999984741211,25.0382472204055,3,0.686
Mauricio,100,44.004,1,0.804
Mauritania,45.8300323486328,0,5,0.546
México,99.5999984741211,10.6876824053063,1,0.779
